**************************************** TYPE INT ****************************************

                   FACTORIAL:          ITERATIVE FACTORIAL:          RECURSIVE FACTORIAL: 

                        1!                             1                             1
                        2!                             2                             2
                        3!                             6                             6
                        4!                            24                            24
                        5!                           120                           120
                        6!                           720                           720
                        7!                          5040                          5040
                        8!                         40320                         40320
                        9!                        362880                        362880
                       10!                       3628800                       3628800
                       11!                      39916800                      39916800
                       12!                     479001600                     479001600


**************************************** TYPE DOUBLE ****************************************

                      NUMBER:          ITERATIVE FACTORIAL:          RECURSIVE FACTORIAL: 

                        1!                      1.00e+00                      1.00e+00
                        2!                      2.00e+00                      2.00e+00
                        3!                      6.00e+00                      6.00e+00
                        4!                      2.40e+01                      2.40e+01
                        5!                      1.20e+02                      1.20e+02
                        6!                      7.20e+02                      7.20e+02
                        7!                      5.04e+03                      5.04e+03
                        8!                      4.03e+04                      4.03e+04
                        9!                      3.63e+05                      3.63e+05
                       10!                      3.63e+06                      3.63e+06
                       11!                      3.99e+07                      3.99e+07
                       12!                      4.79e+08                      4.79e+08
                       13!                      6.23e+09                      6.23e+09
                       14!                      8.72e+10                      8.72e+10
                       15!                      1.31e+12                      1.31e+12
                       16!                      2.09e+13                      2.09e+13
                       17!                      3.56e+14                      3.56e+14
                       18!                      6.40e+15                      6.40e+15
                       19!                      1.22e+17                      1.22e+17
                       20!                      2.43e+18                      2.43e+18
                       21!                      5.11e+19                      5.11e+19
                       22!                      1.12e+21                      1.12e+21
                       23!                      2.59e+22                      2.59e+22
                       24!                      6.20e+23                      6.20e+23
                       25!                      1.55e+25                      1.55e+25
                       26!                      4.03e+26                      4.03e+26
                       27!                      1.09e+28                      1.09e+28
                       28!                      3.05e+29                      3.05e+29
                       29!                      8.84e+30                      8.84e+30
                       30!                      2.65e+32                      2.65e+32
                       31!                      8.22e+33                      8.22e+33
                       32!                      2.63e+35                      2.63e+35
                       33!                      8.68e+36                      8.68e+36
                       34!                      2.95e+38                      2.95e+38
                       35!                      1.03e+40                      1.03e+40
                       36!                      3.72e+41                      3.72e+41
                       37!                      1.38e+43                      1.38e+43
                       38!                      5.23e+44                      5.23e+44
                       39!                      2.04e+46                      2.04e+46
                       40!                      8.16e+47                      8.16e+47
                       41!                      3.35e+49                      3.35e+49
                       42!                      1.41e+51                      1.41e+51
                       43!                      6.04e+52                      6.04e+52
                       44!                      2.66e+54                      2.66e+54
                       45!                      1.20e+56                      1.20e+56
                       46!                      5.50e+57                      5.50e+57
                       47!                      2.59e+59                      2.59e+59
                       48!                      1.24e+61                      1.24e+61
                       49!                      6.08e+62                      6.08e+62
                       50!                      3.04e+64                      3.04e+64
                       51!                      1.55e+66                      1.55e+66
                       52!                      8.07e+67                      8.07e+67
                       53!                      4.27e+69                      4.27e+69
                       54!                      2.31e+71                      2.31e+71
                       55!                      1.27e+73                      1.27e+73
                       56!                      7.11e+74                      7.11e+74
                       57!                      4.05e+76                      4.05e+76
                       58!                      2.35e+78                      2.35e+78
                       59!                      1.39e+80                      1.39e+80
                       60!                      8.32e+81                      8.32e+81
                       61!                      5.08e+83                      5.08e+83
                       62!                      3.15e+85                      3.15e+85
                       63!                      1.98e+87                      1.98e+87
                       64!                      1.27e+89                      1.27e+89
                       65!                      8.25e+90                      8.25e+90
                       66!                      5.44e+92                      5.44e+92
                       67!                      3.65e+94                      3.65e+94
                       68!                      2.48e+96                      2.48e+96
                       69!                      1.71e+98                      1.71e+98
                       70!                     1.20e+100                     1.20e+100
                       71!                     8.50e+101                     8.50e+101
                       72!                     6.12e+103                     6.12e+103
                       73!                     4.47e+105                     4.47e+105
                       74!                     3.31e+107                     3.31e+107
                       75!                     2.48e+109                     2.48e+109
                       76!                     1.89e+111                     1.89e+111
                       77!                     1.45e+113                     1.45e+113
                       78!                     1.13e+115                     1.13e+115
                       79!                     8.95e+116                     8.95e+116
