Student ID:         Final Average       

1000                86.67               
1126                54.33               
1241                93.67               
1415                79.00               
1463                77.33               
1713                73.00               
1738                76.00               
1776                80.33               
2233                63.33               
3010                85.00               
3221                73.33               
3345                85.33               
3514                81.67               
3709                81.67               
4510                79.00               
4591                74.33               
4679                92.67               
4878                83.33               
5574                89.67               
5891                58.67               
5973                80.67               
6012                91.33               
7534                78.33               
7777                91.00               
7883                81.67               
7892                73.67               
8121                89.33               
8888                84.67               
9109                75.33               
9221                69.67               
9941                77.00               


Class Average: 79.39
